Model,Aspect,Question ID,Responder_1,Responder_2,Responder_3,Responder_4,Responder_5,Average
Origin,Intelligibility,1,1,1,2,0,0,0.8
Origin,Fluency,1,2,2,1,1,1,1.4
Origin,Adequacy,1,2,1,3,1,1,1.6
Speakers,Intelligibility,1,0,2,0,0,0,0.4
Speakers,Fluency,1,1,2,1,0,0,0.8
Speakers,Adequacy,1,0,2,1,0,0,0.6
Origin,Intelligibility,2,0,0,2,0,0,0.4
Origin,Fluency,2,1,1,2,0,0,0.8
Origin,Adequacy,2,0,0,1,0,0,0.2
Speakers,Intelligibility,2,1,3,1,0,1,1.2
Speakers,Fluency,2,2,2,2,0,1,1.4
Speakers,Adequacy,2,2,2,1,0,0,1
Origin,Intelligibility,3,0,0,1,0,0,0.2
Origin,Fluency,3,1,1,1,0,0,0.6
Origin,Adequacy,3,0,0,1,0,0,0.2
Speakers,Intelligibility,3,1,1,1,0,1,0.8
Speakers,Fluency,3,0,2,1,0,0,0.6
Speakers,Adequacy,3,0,0,1,0,0,0.2
Origin,Intelligibility,4,1,3,1,0,0,1
Origin,Fluency,4,2,3,2,0,0,1.4
Origin,Adequacy,4,1,0,1,0,0,0.4
Speakers,Intelligibility,4,0,2,1,0,1,0.8
Speakers,Fluency,4,1,1,2,1,0,1
Speakers,Adequacy,4,1,0,2,0,0,0.6
Origin,Intelligibility,5,0,0,1,0,0,0.2
Origin,Fluency,5,0,1,2,0,1,0.8
Origin,Adequacy,5,0,1,2,0,0,0.6
Speakers,Intelligibility,5,0,2,1,0,0,0.6
Speakers,Fluency,5,1,1,2,0,0,0.8
Speakers,Adequacy,5,0,2,2,0,0,0.8
Origin,Intelligibility,6,0,3,1,0,2,1.2
Origin,Fluency,6,1,3,1,1,1,1.4
Origin,Adequacy,6,0,3,0,0,0,0.6
Speakers,Intelligibility,6,1,0,2,0,0,0.6
Speakers,Fluency,6,1,3,2,1,0,1.4
Speakers,Adequacy,6,1,0,2,0,0,0.6
Origin,Intelligibility,7,0,1,2,1,0,0.8
Origin,Fluency,7,1,1,2,1,0,1
Origin,Adequacy,7,0,0,2,0,0,0.4
Speakers,Intelligibility,7,2,1,2,0,0,1
Speakers,Fluency,7,2,2,2,0,0,1.2
Speakers,Adequacy,7,2,0,1,0,0,0.6
Origin,Intelligibility,8,1,2,1,1,0,1
Origin,Fluency,8,2,1,1,1,1,1.2
Origin,Adequacy,8,1,0,1,1,0,0.6
Speakers,Intelligibility,8,2,1,2,1,0,1.2
Speakers,Fluency,8,2,1,2,1,0,1.2
Speakers,Adequacy,8,2,0,3,1,0,1.2
Origin,Intelligibility,9,0,2,1,0,2,1
Origin,Fluency,9,0,2,2,0,0,0.8
Origin,Adequacy,9,0,0,2,0,0,0.4
Speakers,Intelligibility,9,1,2,1,1,0,1
Speakers,Fluency,9,0,2,1,1,0,0.8
Speakers,Adequacy,9,0,2,0,1,0,0.6
Origin,Intelligibility,10,1,1,0,0,0,0.4
Origin,Fluency,10,1,1,1,0,0,0.6
Origin,Adequacy,10,0,1,1,0,0,0.4
Speakers,Intelligibility,10,1,1,1,0,1,0.8
Speakers,Fluency,10,0,0,1,0,0,0.2
Speakers,Adequacy,10,1,0,1,0,0,0.4
Origin,Intelligibility,11,0,1,2,0,0,0.6
Origin,Fluency,11,1,2,2,0,0,1
Origin,Adequacy,11,0,0,2,0,0,0.4
Speakers,Intelligibility,11,1,0,1,0,1,0.6
Speakers,Fluency,11,1,1,2,0,0,0.8
